date,pre_close,open,high,low,close,volume,amt,pct_chg
2019/6/17,3654.8799,3654.4433,3683.7743,3645.4982,3654.8248,7297667800,93092581298,-0.0015
2019/6/18,3654.8248,3661.1299,3675.6452,3638.78,3667.6185,7069226600,89472839848,0.35
2019/6/19,3667.6185,3761.3381,3771.347,3715.1331,3715.9381,12559571500,1.72574E+11,1.3175
2019/6/20,3715.9381,3718.9416,3845.7912,3717.1857,3828.5183,16887207300,2.27727E+11,3.0297
2019/6/21,3828.5183,3832.7321,3856.0856,3817.3068,3833.9383,15363515500,1.99962E+11,0.1416
2019/6/24,3833.9383,3836.3051,3853.5452,3819.7692,3841.2659,10008462100,1.43645E+11,0.1911
2019/6/25,3841.2659,3837.4259,3838.0578,3755.0099,3801.3098,12407591200,1.69359E+11,-1.0402
2019/6/26,3801.3098,3779.5125,3809.758,3771.7164,3794.331,8182028300,1.12107E+11,-0.1836
2019/6/27,3794.331,3807.5376,3854.0801,3805.8328,3834.8172,10531635800,1.56483E+11,1.067
2019/6/28,3834.8172,3832.0599,3835.2326,3803.0546,3825.5873,8476613900,1.16512E+11,-0.2407
2019/7/1,3825.5873,3899.3313,3936.668,3886.909,3935.8116,15837034000,2.1747E+11,2.8812
2019/7/2,3935.8116,3931.0486,3942.4257,3918.9378,3937.1691,13186349600,1.73997E+11,0.0345
2019/7/3,3937.1691,3927.4365,3927.4365,3878.8405,3893.5341,11199260300,1.63146E+11,-1.1083
2019/7/4,3893.5341,3895.1978,3906.8894,3854.693,3873.1019,9934225600,1.42669E+11,-0.5248
2019/7/5,3873.1019,3875.3736,3900.3095,3857.928,3893.2025,7400652700,1.16237E+11,0.519
2019/7/8,3893.2025,3875.7547,3875.7547,3775.0259,3802.7897,10953908600,1.47198E+11,-2.3223
2019/7/9,3802.7897,3798.0954,3811.0993,3774.7641,3793.1297,7484273200,1.13148E+11,-0.254
2019/7/10,3793.1297,3807.9497,3810.396,3774.2304,3786.739,7283394800,1.01355E+11,-0.1685
2019/7/11,3786.739,3806.1855,3830.7387,3774.4137,3785.221,7531196500,1.13675E+11,-0.0401
2019/7/12,3785.221,3783.0733,3820.2354,3774.5224,3808.7311,7546596700,1.07008E+11,0.6211
2019/7/15,3808.7311,3792.6409,3844.8683,3745.8549,3824.1878,10120522200,1.42493E+11,0.4058
2019/7/16,3824.1878,3819.2474,3828.3256,3799.8665,3806.8449,8073095200,1.0845E+11,-0.4535
2019/7/17,3806.8449,3800.1064,3820.2713,3787.8973,3804.6384,9518388500,1.16767E+11,-0.058
2019/7/18,3804.6384,3793.1893,3793.3916,3767.9958,3768.4019,8749644500,1.11669E+11,-0.9524
2019/7/19,3768.4019,3787.5079,3828.1514,3787.5079,3807.9551,8808614900,1.17798E+11,1.0496
2019/7/22,3807.9551,3813.5022,3816.5387,3765.4428,3781.6832,9210137700,1.1781E+11,-0.6899
2019/7/23,3781.6832,3783.5411,3792.9647,3768.7614,3789.9135,7131334600,1.03867E+11,0.2176
2019/7/24,3789.9135,3803.5867,3840.0579,3803.5738,3819.8325,9094068400,1.29941E+11,0.7894
2019/7/25,3819.8325,3821.3898,3851.0665,3812.9532,3851.0665,9374041700,1.259E+11,0.8177
2019/7/26,3851.0665,3835.2281,3863.5878,3832.5223,3858.5688,8325930000,1.1093E+11,0.1948
2019/7/29,3858.5688,3857.9394,3862.7467,3842.426,3854.2704,8481437000,1.11679E+11,-0.1114
2019/7/30,3854.2704,3861.5698,3890.7298,3861.5698,3870.3176,9412395500,1.2048E+11,0.4163
2019/7/31,3870.3176,3856.745,3856.745,3830.0914,3835.3589,8215115500,1.11084E+11,-0.9033
2019/8/1,3835.3589,3819.3242,3831.2641,3791.546,3803.4694,8411418000,1.17649E+11,-0.8315
2019/8/2,3803.4694,3729.1309,3754.5326,3720.0584,3747.4379,10833589700,1.41875E+11,-1.4732
2019/8/5,3747.4379,3724.4097,3739.5031,3675.6884,3675.6884,10132598100,1.33061E+11,-1.9146
2019/8/6,3675.6884,3609.1118,3649.8953,3575.8626,3636.3289,12983387100,1.67267E+11,-1.0708
2019/8/7,3636.3289,3654.6323,3659.0778,3621.431,3621.431,8423871600,1.08668E+11,-0.4097
2019/8/8,3621.431,3651.3571,3675.4603,3646.9386,3669.2936,8845770700,1.14982E+11,1.3216
2019/8/9,3669.2936,3686.7493,3689.1774,3628.1163,3633.5296,8529558000,1.16356E+11,-0.9747
2019/8/12,3633.5296,3647.8661,3699.1047,3643.3161,3699.1047,8208305600,1.21129E+11,1.8047
2019/8/13,3699.1047,3675.5868,3686.4302,3658.0126,3665.7515,7650030200,1.03764E+11,-0.9017
2019/8/14,3665.7515,3712.0657,3717.5579,3680.6086,3682.4015,9120259000,1.28302E+11,0.4542
2019/8/15,3682.4015,3618.0092,3694.2985,3612.1108,3694.0006,8859883200,1.19241E+11,0.315
2019/8/16,3694.0006,3697.9407,3738.0964,3687.0751,3710.5386,8831916900,1.32697E+11,0.4477
2019/8/19,3710.5386,3736.0344,3791.0946,3720.6894,3791.0946,13932701300,1.95449E+11,2.171
